Code,Density_Plants_Hectare,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Product_1_Application_Date,Product_2_Application_Date,Product_3_Application_Date,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag,Total_N_Applied,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Boron_Applied,Total_Iron_Applied,Total_Manganese_Applied,Total_Magnesium_Applied,Total_Calcium_Applied,Total_Sulfur_Applied,Total_Herbicides_Applied,Total_Organic_Acids_Applied,Total_Micronutrients_Other,Previous_Year_Crop_Caña De Azúcar,Previous_Year_Crop_Descanso,Previous_Year_Crop_Frijol,Previous_Year_Crop_Other_Rare,Previous_Year_Crop_Unknown,"Previous_Year_Crop_Yuca, Mandioca, Tapioca",Irrigation_Type_-1,Irrigation_Type_Aspersor,Irrigation_Type_Aspersor-Superficie,Irrigation_Type_Otro,Irrigation_Type_Superficie,Soil_Type_Arcillo-limoso,Soil_Type_Arcilloso,Soil_Type_Franco,Soil_Type_Franco-arcillo-arenoso,Soil_Type_Franco-arcilloso,Soil_Type_Unknown,Product_1_Type_-1,Product_1_Type_Fertilizante sintético,Product_1_Type_Otras practicas,Product_2_Type_-1,Product_2_Type_Fertilizante sintético,Product_2_Type_Herbicida,Product_3_Type_-1,Product_3_Type_Fertilizante sintético,Product_3_Type_Herbicida,Target_Crop_Grouped
AZM048,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,2,3,1,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM049,65000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM04A,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM04B,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,6,4,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
AZM04C,160000.0,2,1,-1,19751,19751,19751,1,0,0,0,0,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3
AZM04D,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,4,2,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
AZM04E,133000.0,2,1,-1,19751,19752,19752,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
AZM04F,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,4,2,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
AZM04G,570.0,2,0,0,19751,19751,19752,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AZM04I,10000.0,1,0,0,19750,19750,19751,0,0,0,0,1,5,3,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
AZM04J,160000.0,2,1,0,19751,19751,19751,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM04K,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM04L,133000.0,-1,1,-1,19752,19752,19752,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3
AZM04M,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,5,2,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
AZM04N,65000.0,-1,-1,-1,19751,19751,19751,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM04O,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM04P,10000.0,1,0,0,19750,19751,19751,0,0,0,1,1,2,1,2,1,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
AZM04R,10000.0,2,0,0,19751,19752,19752,0,0,0,1,1,2,1,1,1,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
AZM04S,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,6,4,2,2,0,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
AZM04T,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,5,1,2,2,2,2,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
AZM04U,65000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM04V,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,2,3,1,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM04X,160000.0,2,1,0,19751,19751,19751,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM04Y,190000.0,2,0,0,19751,19751,19751,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM04Z,2000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM051,2000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM052,2000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM053,65000.0,-1,-1,-1,19751,19751,19751,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM054,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM055,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM056,160000.0,2,1,0,19752,19752,19752,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM057,52500.0,2,0,-1,19750,19750,19750,1,0,0,0,0,0,1,2,1,1,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AZM058,5000.0,1,0,0,19751,19752,19752,0,0,0,1,1,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
AZM059,10000.0,2,0,0,19751,19751,19752,0,0,0,0,1,5,1,0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
AZM05A,65000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM05B,62500.0,2,0,-1,19752,19752,19752,1,0,0,0,0,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
AZM05C,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM05E,65000.0,-1,-1,-1,19751,19751,19751,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05F,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05G,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,1,3,2,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM05H,160000.0,2,1,0,19752,19752,19752,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM05I,62500.0,2,0,-1,19752,19752,19752,1,0,0,0,0,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
AZM05J,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05K,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,1,3,2,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM05L,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05M,2000.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
AZM05N,5000.0,1,0,0,19751,19752,19752,0,0,0,1,1,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
AZM05O,570.0,2,0,0,19751,19751,19752,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
AZM05P,0.0,-1,-1,-1,19751,19751,19751,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05Q,133000.0,1,0,-1,19751,19752,19752,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
AZM05R,160000.0,2,1,0,19752,19752,19752,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
AZM05S,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,2,3,1,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
AZM05T,10000.0,2,0,0,19751,19752,19752,0,0,0,1,1,3,1,1,1,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
AZM05U,10000.0,1,0,0,19751,19751,19752,0,0,0,0,1,5,1,0,2,2,2,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
AZM05V,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05W,0.0,-1,-1,-1,19752,19752,19752,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
AZM05X,190000.0,2,0,0,19751,19751,19751,0,0,0,0,0,1,3,2,3,6,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,3
