Code,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_N_Applied,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Boron_Applied,Total_Iron_Applied,Total_Manganese_Applied,Total_Magnesium_Applied,Total_Calcium_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Descanso,Previous_Year_Crop_Frijol,Irrigation_Type_Aspersor-Superficie,Irrigation_Type_Superficie,Soil_Type_Arcilloso,Soil_Type_Franco-arcilloso,Soil_Type_Unknown,Product_1_Type_Fertilizante sintético,Product_2_Type_Fertilizante sintético,Product_3_Type_Fertilizante sintético,Target_Crop_Grouped
AZM05G,1,0,0,1,3,2,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM05H,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM05I,1,0,-1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
AZM05J,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05K,1,0,0,1,3,2,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM05L,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05M,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZM05N,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1
AZM05O,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
AZM05P,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05Q,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
AZM05R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
AZM05S,1,0,0,2,3,1,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
AZM05T,1,0,0,3,1,1,1,0,1,1,0,0,4,1,0,1,0,0,0,0,1,0,0,1
AZM05U,0,0,0,5,1,0,2,2,2,2,0,0,8,0,0,0,1,0,1,0,1,1,0,1
AZM05V,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05W,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZM05X,1,0,0,1,3,2,3,6,0,0,3,3,0,0,1,0,1,1,0,0,1,1,1,3
