Code,Sample_Name,Collection_Date,Plot_Name,Crop,Variety,Density_Plants_Hectare,Planting_Year,Previous_Year_Crop,Irrigation_Usage,Irrigation_Type,Soil_Type,Organic_Practices,Biodynamic_Methods,Product_1_Type,Product_1_Name,Product_1_Application_Date,Product_2_Type,Product_2_Name,Product_2_Application_Date,Product_3_Type,Product_3_Name,Product_3_Application_Date,sample_simple,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag
AZM04Q,N3 F 5 Forrajes,2024-01-29,N3 Forrajes,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04R,P2-N 1 Cassava,2024-01-30,P2-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcilloso,No,No,Fertilizante sintético,"10-30-10, Sulfato de amonio, Sulfato de Hierro, Sulfato de Zinc, Sulfato de Manganeso",498,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
AZM04S,S1-N 1 Cassava,2024-01-30,S1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",637,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",608,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04T,P2-S 1 Cassava,2024-01-30,P2-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"DAP, UREA, KCl, Sulfato de amonio, Sulfato de hierro, Sulfato de zinc, Sulfato de manganeso, Borax",147,Fertilizante sintético,"UREA, KCl, Sulfato de amonio, Sulfato de hierro, Sulfato de zinc, Sulfato de manganeso, Borax",115,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM04U,N1-N 1 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04V,H3 1 Beans,2024-01-30,H3,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",740,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",733,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",727,Beans,0,0,0,0,0
AZM04W,N1-N 3 Forrajes,2024-01-29,N1-N,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM04X,O1-N 2 Beans,2024-01-29,O1-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM04Y,K1-S 1 Beans,2024-01-29,K1-S,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,No,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM04Z,P3 3 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM051,P3 1 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM052,P3 6 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM053,N1-N 2 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,0,1,1,1
AZM054,M3-N 1 Rice,2024-01-29,M3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM055,O4 1 Forrajes,2024-01-29,O4,Forrajes,Urochloa humidicola cv. Tully (CIAT 679) + Canavalia,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM056,O2- S 3 Beans,2024-01-30,O2-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM057,M4-S 1 Michael Maiz,2024-01-29,M4-S,Maíz,Hibrido,52500.0,2023.0,Arroz,Regular,Otro,Arcilloso,No,0,Fertilizante sintético,KCl,1,Fertilizante sintético,Agrimins,1,Herbicida,"Linuron, Glifosato y glufosinato de amonio",45,Maiz,1,0,0,0,0
AZM058,D1-S 1 Cassava,2024-01-30,D1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,5000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato Amonio, Sulfato Zinc",111,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
AZM059,F3 1 Cassava,2024-01-30,F3,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,"Yuca, Mandioca, Tapioca",Regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"DAP, UREA, Sulfato amonio, Sulfato Hierro, Sulfato Zinc, Boro",172,Fertilizante sintético,"UREA, Sulfato amonio, Sulfato Hierro, Sulfato Zinc, Boro",148,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM05A,N1-N 6 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM05B,S1-S 1 CIMMYT,2024-01-30,S1-S,Maíz,Diferente Hibridos Experimentales(500),62500.0,2023.0,Maíz,Regular,Superficie,Franco,No,0,Fertilizante sintético,KCL,-40,Fertilizante sintético,DAP,-40,Fertilizante sintético,Agrimins,-40,CIMMYT,1,0,0,0,0
AZM05C,N3 F 2 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM05E,N1-N 7 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,0,1,1,1
AZM05F,H1-S 2 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05G,E1 1 Beans,2024-01-30,E1,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",349,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",342,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",333,Beans,0,0,0,0,0
AZM05H,O2-S 2 Beans,2024-01-30,O2-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM05I,S1-S 2 CIMMYT,2024-01-30,S1-S,Maíz,Diferente Hibridos Experimentales(500),62500.0,2023.0,Maíz,Regular,Superficie,Franco,No,0,Fertilizante sintético,KCL,-40,Fertilizante sintético,DAP,-40,Fertilizante sintético,Agrimins,-40,CIMMYT,1,0,0,0,0
AZM05J,L1-S 2 Rice,2024-01-29,L1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05K,R2 2 Beans,2024-01-30,R2,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",532,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",526,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-39-52 ",154,Beans,0,0,0,0,0
AZM05L,H1-S 1 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05M,P3 4 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,2000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Forrajes,1,1,1,1,1
AZM05N,D1-S 2 Cassava,2024-01-30,D1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,5000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato Amonio, Sulfato Zinc",111,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
AZM05O,F2 1 Caña,2024-01-30,F2,Caña de azúcar,Mezcla,570.0,2019.0,Caña De Azúcar,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,NPK,321,Herbicida,"Diuron, Ametrina y Tordon",306,-1,Unknown,-1,Caña,0,0,0,0,1
AZM05P,L1-S 1 Rice,2024-01-29,L1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05Q,H2-N 2 FLAR,2024-01-30,H2-N,Arroz,Mejoramiento,133000.0,2023.0,Caña De Azúcar,Semi-regular,Superficie,Franco-arcilloso,No,0,Fertilizante sintético,"Urea, KCl y menores",56,-1,Unknown,-1,-1,Unknown,-1,FLAR,1,0,0,1,1
AZM05R,O2-N 1 Beans,2024-01-30,O2-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Beans,0,0,1,1,1
AZM05S,H3 2 Beans,2024-01-30,H3,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",740,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",733,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",727,Beans,0,0,0,0,0
AZM05T,P1-S 1 Cassava,2024-01-30,P1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco-arcillo-arenoso,No,No,Fertilizante sintético,"UREA, DAP, KCl, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso",50,-1,Unknown,-1,-1,Unknown,-1,Cassava,0,0,0,1,1
AZM05U,I2-S 1 Cassava,2024-01-30,I2-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"UREA, DAP, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso, Borax",96,Fertilizante sintético,"UREA, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso, Borax",71,-1,Unknown,-1,Cassava,0,0,0,0,1
AZM05V,H3-N 1 Rice,2024-01-30,H3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05W,H3-Bajo 1 Rice,2024-01-30,H3-Bajo,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,-1,-1,Unknown,-1,-1,Unknown,-1,Rice,1,1,1,1,1
AZM05X,R2 1 Beans,2024-01-30,R2,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",532,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",526,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-39-52 ",154,Beans,0,0,0,0,0
