,Code,Sample_Name,Collection_Date,Plot_Name,Crop,Variety,Density_Plants_Hectare,Planting_Year,Previous_Year_Crop,Irrigation_Usage,Irrigation_Type,Soil_Type,Organic_Practices,Biodynamic_Methods,Product_1_Type,Product_1_Name,Product_1_Application_Date,Product_2_Type,Product_2_Name,Product_2_Application_Date,Product_3_Type,Product_3_Name,Product_3_Application_Date,sample_simple,Biodynamic_Methods_Flag,Density_Plants_Hectare_Flag,Product_1_type_Flag,Product_2_type_Flag,Product_3_type_Flag
10,AZM048,H3 3 Beans,2024-01-30,H3,Frijol,Más de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-01-20,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",2022-01-27,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-02-02,Beans,0,0,0,0,0
11,AZM049,N1-N 4 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
12,AZM04A,N3 F 3 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
13,AZM04B,S1-N 2 Cassava,2024-01-30,S1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",2022-05-03,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",2022-06-01,-1,Unknown,,Cassava,0,0,0,0,1
14,AZM04C,P1-N 1 Michael Clitoria,2024-01-30,P1-N,Clitoria,9336 & 17768,160000.0,2023.0,Crotalaria,Regular,Aspersor,Franco-arcilloso,Si,0,Fertilizante sintético,DAP,2024-01-11,Fertilizante sintético,KCl,2024-01-11,Fertilizante sintético,Agrimins,2024-01-11,Clitoria,1,0,0,0,0
15,AZM04D,R1 2 Cassava,2024-01-30,R1,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcillo-limoso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",2022-03-29,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",2022-07-21,-1,Unknown,,Cassava,0,0,0,0,1
16,AZM04E,I2-N 1 FLAR,2024-01-30,I2-N,Arroz,Mejoramiento,133000.0,2023.0,Caña De Azúcar,Regular,Superficie,Franco-arcilloso,Si,0,Fertilizante sintético,"Urea, KCl y menores",2023-11-11,-1,Unknown,,-1,Unknown,,FLAR,1,0,0,1,1
17,AZM04F,R1 1 Cassava,2024-01-30,R1,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcillo-limoso,No,No,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",2022-03-29,Fertilizante sintético,"10-30-10, Sulfato de Hierro, Sulfato de Manganeso, Sulfato Zinc, Sulfato de Amonio",2023-07-21,-1,Unknown,,Cassava,0,0,0,0,1
18,AZM04G,Q2-S 1 Caña,2024-01-30,Q2-S,Caña de azúcar,CC011940,570.0,2021.0,Caña De Azúcar,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,NPK,2023-03-15,Herbicida,"Diuron, Ametrina y Tordon",2023-03-30,-1,Unknown,,Caña,0,0,0,0,1
19,AZM04H,N3 F 4 Forrajes,2024-01-29,N3 Forrajes,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
20,AZM04I,N3 1 Cassava,2024-01-29,N3,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Semi-regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"15-15-15, DAP, Sulfato de amonio, Sulfato de hierro, Sulfato de manganeso, Sulfato de Zinc",2023-07-26,Fertilizante sintético,"15-15-15, Sulfato de amonio, Sulfato de hierro, Sulfato de manganeso, Sulfato de Zinc",2023-08-16,-1,Unknown,,Cassava,0,0,0,0,1
21,AZM04J,O1-S 3 Beans,2024-01-29,O1-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Otro,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
22,AZM04K,O4 2 Forrajes,2024-01-29,O4,Forrajes,Urochloa humidicola cv. Tully (CIAT 679) + Canavalia,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
23,AZM04L,H2-N 1 FLAR,2024-01-30,H2-N,Crotalaria,Crotalaria Juncea,0.0,2023.0,Crotalaria,Raramente,Aspersor,Franco-arcilloso,Si,0,Otras practicas,Unknown,,-1,Unknown,,-1,Unknown,,FLAR,1,1,0,1,1
24,AZM04M,O3-S 1 Cassava,2024-01-30,O3-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"15-15-15, Urea, Sulfato de amonio, Sulfato de Zinc, Sulfato de Hierro, Sulfato de manganeso",2023-01-10,Fertilizante sintético,"15-15-15, Sulfato de amonio, Sulfato de Zinc, Sulfato de Hierro, Sulfato de manganeso",2023-02-15,-1,Unknown,,Cassava,0,0,0,0,1
25,AZM04N,N1-N 5 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,0,1,1,1
26,AZM04O,H1-S 3 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
27,AZM04P,N1-N 2 Cassava,2024-01-29,N1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, KCL, Sulfato de hierro, Sulfato de Zinc, Sulfato de Manganeso",2023-10-25,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
28,AZM04Q,N3 F 5 Forrajes,2024-01-29,N3 Forrajes,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
29,AZM04R,P2-N 1 Cassava,2024-01-30,P2-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2022.0,Descanso,Regular,Aspersor-Superficie,Arcilloso,No,No,Fertilizante sintético,"10-30-10, Sulfato de amonio, Sulfato de Hierro, Sulfato de Zinc, Sulfato de Manganeso",2022-09-19,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
30,AZM04S,S1-N 1 Cassava,2024-01-30,S1-N,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco,No,No,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",2022-05-03,Fertilizante sintético,"15-15-15, Sulfato de amonio, DAP, Sulfato de zinc, Sulfato de hierro, Sulfato de manganeso",2022-06-01,-1,Unknown,,Cassava,0,0,0,0,1
31,AZM04T,P2-S 1 Cassava,2024-01-30,P2-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"DAP, UREA, KCl, Sulfato de amonio, Sulfato de hierro, Sulfato de zinc, Sulfato de manganeso, Borax",2023-09-05,Fertilizante sintético,"UREA, KCl, Sulfato de amonio, Sulfato de hierro, Sulfato de zinc, Sulfato de manganeso, Borax",2023-10-07,-1,Unknown,,Cassava,0,0,0,0,1
32,AZM04U,N1-N 1 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
33,AZM04V,H3 1 Beans,2024-01-30,H3,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-01-20,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",2022-01-27,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-02-02,Beans,0,0,0,0,0
34,AZM04W,N1-N 3 Forrajes,2024-01-29,N1-N,Suelo Desnudo,Suelo desnudo ,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
35,AZM04X,O1-N 2 Beans,2024-01-29,O1-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
36,AZM04Y,K1-S 1 Beans,2024-01-29,K1-S,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,No,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
37,AZM04Z,P3 3 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110 + Leucaena diversifolia,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
39,AZM051,P3 1 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
40,AZM052,P3 6 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
41,AZM053,N1-N 2 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,0,1,1,1
42,AZM054,M3-N 1 Rice,2024-01-29,M3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
43,AZM055,O4 1 Forrajes,2024-01-29,O4,Forrajes,Urochloa humidicola cv. Tully (CIAT 679) + Canavalia,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
44,AZM056,O2- S 3 Beans,2024-01-30,O2-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
45,AZM057,M4-S 1 Michael Maiz,2024-01-29,M4-S,Maíz,Hibrido,52500.0,2023.0,Arroz,Regular,Otro,Arcilloso,No,0,Fertilizante sintético,KCl,2024-01-28,Fertilizante sintético,Agrimins,2024-01-28,Herbicida,"Linuron, Glifosato y glufosinato de amonio",2023-12-15,Maiz,1,0,0,0,0
46,AZM058,D1-S 1 Cassava,2024-01-30,D1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,5000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato Amonio, Sulfato Zinc",2023-10-11,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
47,AZM059,F3 1 Cassava,2024-01-30,F3,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,"Yuca, Mandioca, Tapioca",Regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"DAP, UREA, Sulfato amonio, Sulfato Hierro, Sulfato Zinc, Boro",2023-08-11,Fertilizante sintético,"UREA, Sulfato amonio, Sulfato Hierro, Sulfato Zinc, Boro",2023-09-04,-1,Unknown,,Cassava,0,0,0,0,1
48,AZM05A,N1-N 6 Forrajes,2024-01-29,N1-N,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
49,AZM05B,S1-S 1 CIMMYT,2024-01-30,S1-S,Maíz,Diferente Hibridos Experimentales(500),62500.0,2023.0,Maíz,Regular,Superficie,Unknown,No,0,Fertilizante sintético,KCL,2024-03-10,Fertilizante sintético,DAP,2024-03-10,Fertilizante sintético,Agrimins,2024-03-10,CIMMYT,1,0,0,0,0
50,AZM05C,N3 F 2 Forrajes,2024-01-29,N3 Forrajes,Forrajes,Urochloa humidicola cv. Tully (CIAT 679),0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
52,AZM05E,N1-N 7 Forrajes,2024-01-29,N1-N,Maíz,Maíz biofortificado (SGBIOH2),65000.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,0,1,1,1
53,AZM05F,H1-S 2 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
54,AZM05G,E1 1 Beans,2024-01-30,E1,Frijol,Mas de 100,190000.0,2023.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",2023-02-15,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2023-02-22,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2023-03-03,Beans,0,0,0,0,0
55,AZM05H,O2-S 2 Beans,2024-01-30,O2-S,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
56,AZM05I,S1-S 2 CIMMYT,2024-01-30,S1-S,Maíz,Diferente Hibridos Experimentales(500),62500.0,2023.0,Maíz,Regular,Superficie,Unknown,No,0,Fertilizante sintético,KCL,2024-03-10,Fertilizante sintético,DAP,2024-03-10,Fertilizante sintético,Agrimins,2024-03-10,CIMMYT,1,0,0,0,0
57,AZM05J,L1-S 2 Rice,2024-01-29,L1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
58,AZM05K,R2 2 Beans,2024-01-30,R2,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",2022-08-16,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2022-08-22,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-39-52 ",2023-08-29,Beans,0,0,0,0,0
59,AZM05L,H1-S 1 Rice,2024-01-30,H1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
60,AZM05M,P3 4 Forrajes,2024-01-29,P3,Forrajes,Brachiaria brizantha CIAT 26110,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Forrajes,1,1,1,1,1
61,AZM05N,D1-S 2 Cassava,2024-01-30,D1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,5000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"15-15-15, Sulfato Amonio, Sulfato Zinc",2023-10-11,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
62,AZM05O,F2 1 Caña,2024-01-30,F2,Caña de azúcar,Mezcla,570.0,2019.0,Caña De Azúcar,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,NPK,2023-03-15,Herbicida,"Diuron, Ametrina y Tordon",2023-03-30,-1,Unknown,,Caña,0,0,0,0,1
63,AZM05P,L1-S 1 Rice,2024-01-29,L1-S,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
64,AZM05Q,H2-N 2 FLAR,2024-01-30,H2-N,Arroz,Mejoramiento,133000.0,2023.0,Caña De Azúcar,Semi-regular,Superficie,Franco-arcilloso,No,0,Fertilizante sintético,"Urea, KCl y menores",2023-12-05,-1,Unknown,,-1,Unknown,,FLAR,1,0,0,1,1
65,AZM05R,O2-N 1 Beans,2024-01-30,O2-N,Crotalaria,9336,160000.0,2024.0,Frijol,Regular,Superficie,Arcilloso,Si,No,-1,Unknown,,-1,Unknown,,-1,Unknown,,Beans,0,0,1,1,1
66,AZM05S,H3 2 Beans,2024-01-30,H3,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-01-20,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 0-32-43",2022-01-27,Fertilizante sintético,"Bortrac, Kelatex Mg, Zintrac, Cabtrac, 18-45-0 ",2022-02-02,Beans,0,0,0,0,0
67,AZM05T,P1-S 1 Cassava,2024-01-30,P1-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,Descanso,Regular,Aspersor-Superficie,Franco-arcillo-arenoso,No,No,Fertilizante sintético,"UREA, DAP, KCl, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso",2023-12-11,-1,Unknown,,-1,Unknown,,Cassava,0,0,0,1,1
68,AZM05U,I2-S 1 Cassava,2024-01-30,I2-S,"Yuca, Mandioca, Tapioca",Multiples variedades,10000.0,2023.0,"Yuca, Mandioca, Tapioca",Semi-regular,Superficie,Franco-arcilloso,No,No,Fertilizante sintético,"UREA, DAP, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso, Borax",2023-10-26,Fertilizante sintético,"UREA, Sulfato amonio, Sulfato Zinc, Sulfato hierro, Sulfato Manganeso, Borax",2023-11-20,-1,Unknown,,Cassava,0,0,0,0,1
69,AZM05V,H3-N 1 Rice,2024-01-30,H3-N,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
70,AZM05W,H3-Bajo 1 Rice,2024-01-30,H3-Bajo,Arroz,Unknown,0.0,-1.0,Unknown,-1,-1,Unknown,-1,0,-1,Unknown,,-1,Unknown,,-1,Unknown,,Rice,1,1,1,1,1
71,AZM05X,R2 1 Beans,2024-01-30,R2,Frijol,Mas de 100,190000.0,2022.0,Frijol,Regular,Superficie,Arcilloso,No,No,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 18-45-0 ",2022-08-16,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-32-43 ",2022-08-22,Fertilizante sintético,"Kelatex Boro, Mg, Zintrac, Cabtrac, 0-39-52 ",2023-08-29,Beans,0,0,0,0,0
